full_name,language,commits,stars,forks,contributors,open_issues,src_files,lines_code,lines_blank,lines_comment,comment_ratio,type
iluwatar/java-design-patterns,Java,2179,46938,15178,145,199,1126,29414,8846,37329,1.269089549,tutorial
elastic/elasticsearch,Java,45693,40396,13460,364,1940,10978,1371298,239621,298082,0.217372154,framework
ReactiveX/RxJava,Java,5529,38629,6532,241,31,1654,278944,68000,72083,0.258413875,library
square/okhttp,Java,3857,31906,7101,182,187,240,47400,8806,8187,0.172721519,library
google/guava,Java,4924,31218,7021,180,829,2162,387358,68817,135081,0.348723919,library
PhilJay/MPAndroidChart,Java,2013,26846,6996,66,1441,220,24370,8398,8931,0.366475174,library
bumptech/glide,Java,2303,25674,4801,96,139,627,68319,12174,13010,0.190430188,library
airbnb/lottie-android,Java,1084,25124,3926,68,28,186,12702,2322,1483,0.116753267,library
proxyee-down-org/proxyee-down,Java,468,23259,4144,9,204,42,3919,495,276,0.070426129,app
Blankj/AndroidUtilCode,Java,1101,22996,7537,24,47,133,22719,3768,13924,0.612879088,tutorial
zxing/zxing,Java,3497,22282,8066,94,8,503,43827,7655,16534,0.377256029,library
greenrobot/EventBus,Java,482,20797,4267,20,104,96,5333,1195,1798,0.337146072,library
crossoverJie/JCSprout,Java,671,20226,5490,24,18,97,3570,1218,1207,0.338095238,tutorial
skylot/jadx,Java,982,18285,1964,31,78,701,55724,10047,2045,0.036698729,app
ReactiveX/RxAndroid,Java,476,17909,2791,60,0,11,1293,277,226,0.174787316,library
doocs/advanced-java,Java,238,17852,3981,7,15,0,0,0,0,0,other
alibaba/fastjson,Java,3103,17467,4825,84,936,2767,163817,45858,13266,0.080980606,library
Netflix/Hystrix,Java,2109,17117,3477,106,329,411,50510,11006,17127,0.33908137,library
scwang90/SmartRefreshLayout,Java,1005,17069,3537,4,41,145,18400,3207,4701,0.25548913,framework
CymChad/BaseRecyclerViewAdapterHelper,Java,994,16917,3553,34,154,95,6001,1217,2092,0.348608565,library
nostra13/Android-Universal-Image-Loader,Java,1030,16458,6367,35,449,88,7218,1414,5246,0.726794126,library
alibaba/druid,Java,5968,16401,5866,107,1318,4050,300842,81608,59021,0.196186038,library
facebook/fresco,Java,1978,15529,3624,151,83,928,82230,14944,23079,0.280663991,library
libgdx/libgdx,Java,13602,15266,5803,344,331,2327,277882,59366,70790,0.254748418,framework
chrisbanes/PhotoView,Java,444,15181,3530,34,121,25,1595,351,360,0.225705329,library
SeleniumHQ/selenium,Java,23763,14121,4779,394,469,1460,97803,24791,36207,0.370203368,framework
ityouknow/spring-boot-examples,Java,157,13700,5986,4,6,229,5852,1615,223,0.03810663,tutorial
android10/Android-CleanArchitecture,Java,244,13327,3067,9,137,81,2777,716,1714,0.61721282,tutorial
ctripcorp/apollo,Java,2189,13327,4679,35,201,644,45328,12040,3866,0.085289446,app
shuzheng/zheng,Java,1238,13151,6442,8,32,379,30363,7814,3447,0.113526331,framework
tensorflow/tensorflow,C++,54160,126127,74041,385,2491,4105,925048,150986,134855,0.145781624,
electron/electron,C++,21643,72426,9442,385,1265,279,42652,9098,3692,0.086561005,
apple/swift,C++,85806,47470,7525,395,533,780,464915,90728,91326,0.196435908,
bitcoin/bitcoin,C++,20132,37976,22579,369,968,390,103479,16626,13232,0.127871356,
nwjs/nw.js,C++,3563,35321,3788,97,745,109,20441,3881,2377,0.116285896,
opencv/opencv,C++,26415,34030,24625,304,1681,1366,561797,97435,68745,0.122366264,
x64dbg/x64dbg,C++,4206,33851,982,67,371,235,78698,9540,4714,0.05989987,
protocolbuffers/protobuf,C++,6533,33714,9155,401,637,272,161376,23625,24428,0.151373191,
BVLC/caffe,C++,4154,27882,16798,266,992,186,42856,4827,4965,0.115853089,
pytorch/pytorch,C++,17548,27215,6479,336,2905,1389,239586,35673,18344,0.076565409,
tesseract-ocr/tesseract,C++,3868,26295,5051,101,220,341,121413,11284,28258,0.232742787,
rethinkdb/rethinkdb,C++,33392,22042,1725,144,1464,568,222966,23040,59074,0.264946225,
godotengine/godot,C++,20450,21709,4240,437,5083,1177,564054,150504,57258,0.101511557,
grpc/grpc,C++,38284,20735,4792,352,1221,963,195696,27413,30291,0.154785995,
cmderdev/cmder,C++,1018,17903,1259,92,252,1,572,92,26,0.045454545,
google/leveldb,C++,251,17243,4109,25,128,75,17543,2778,1747,0.09958388,
apache/incubator-mxnet,C++,9516,16740,5966,387,1152,270,60668,8198,10599,0.174704952,
MisterBooo/LeetCodeAnimation,C++,39,16622,2054,1,1,61,2392,839,432,0.180602007,
Microsoft/CNTK,C++,16086,16063,4252,199,733,311,113600,19986,14938,0.131496479,
facebook/hhvm,C++,31548,15963,2840,298,867,1072,542472,82776,67355,0.12416309,
Microsoft/calculator,C++,183,15921,2358,39,145,126,27701,5237,4281,0.154543157,
mongodb/mongo,C++,46299,15877,3999,263,37,3895,1282297,249106,243630,0.189994986,
dmlc/xgboost,C++,3693,15676,6570,355,112,86,13226,1513,1593,0.120444579,
ocornut/imgui,C++,5153,14640,2164,159,369,35,26333,3998,4729,0.179584552,
aria2/aria2,C++,5244,14386,1612,51,555,608,93146,13193,17850,0.191634638,
facebook/osquery,C++,5004,14061,1710,264,545,762,78644,17264,16200,0.205991557,
nlohmann/json,C++,3065,13720,2278,130,36,280,37523,6350,4784,0.127495136,
facebook/rocksdb,C++,7931,13595,2961,325,327,478,211996,32512,32923,0.1553001,
ApolloAuto/apollo,C++,11941,13210,4148,205,421,185,18482,3565,3200,0.173141435,
cocos2d/cocos2d-x,C++,36918,13077,6656,321,1319,988,649190,115491,43867,0.067571897,
freeCodeCamp/freeCodeCamp,JavaScript,22741,301949,21671,420,2516,394,32376,3757,1082,0.033419817,app
twbs/bootstrap,JavaScript,18641,132766,64975,372,389,83,29957,7235,3465,0.115665788,framework
facebook/react,JavaScript,10865,127636,23275,442,654,834,159169,19561,17140,0.107684285,framework
facebook/create-react-app,JavaScript,2204,66638,14870,479,347,248,11296,1586,2527,0.223707507,tutorial
nodejs/node,JavaScript,26802,60411,13472,459,860,14637,1179444,164955,215787,0.182956546,framework
FortAwesome/Font-Awesome,JavaScript,47,59597,10061,5,4780,1536,78308,4406,240,0.003064821,library
axios/axios,JavaScript,839,58394,4583,159,599,79,5300,1122,1086,0.20490566,library
mrdoob/three.js,JavaScript,27344,50838,19095,370,887,1172,218656,129717,25523,0.116726731,library
atom/atom,JavaScript,36445,48489,11476,349,715,322,123373,12804,9424,0.076386243,app
webpack/webpack,JavaScript,7763,48398,6076,422,524,2367,62247,6688,6931,0.111346732,app
GoogleChrome/puppeteer,JavaScript,1437,48308,4304,203,323,169,20481,2247,5701,0.278355549,library
hakimel/reveal.js,JavaScript,2341,45855,13231,244,434,29,8443,2815,2601,0.308065853,framework
expressjs/express,JavaScript,5502,43469,7359,220,169,147,11730,3288,2442,0.208184143,framework
chartjs/Chart.js,JavaScript,2713,43051,9505,298,457,215,34220,4353,2961,0.086528346,library
h5bp/html5-boilerplate,JavaScript,1701,42661,10110,231,1,7,254,106,105,0.413385827,tutorial
lodash/lodash,JavaScript,7952,38727,4016,279,5,702,22951,5468,6683,0.291185569,library
Dogfalo/materialize,JavaScript,3854,35582,4770,252,643,59,19941,4293,4467,0.224010832,framework
NARKOZ/hacker-scripts,JavaScript,136,34910,5925,39,53,5,222,77,51,0.22972973,other
gatsbyjs/gatsby,JavaScript,9104,34040,4783,463,486,1483,115356,13857,9798,0.084937064,framework
apache/incubator-echarts,JavaScript,5206,33703,9847,70,3256,603,348251,71822,146476,0.420604679,library
babel/babel,JavaScript,12365,32838,3460,428,773,7709,110481,19342,6465,0.058516849,tool
Kickball/awesome-selfhosted,JavaScript,2710,30960,2505,420,50,1,75,8,2,0.026666667,other
blueimp/jQuery-File-Upload,JavaScript,1096,29920,7980,83,53,17,5093,459,793,0.155703907,app
Unitech/pm2,JavaScript,4543,28886,1957,209,655,301,20444,4342,3029,0.14816083,app
jashkenas/backbone,JavaScript,3381,27459,5714,292,79,22,19223,3841,3762,0.195703064,library
i0natan/nodebestpractices,JavaScript,995,27205,2088,90,35,2,182,45,1,0.005494505,other
immutable-js/immutable-js,JavaScript,1555,27122,1583,188,125,124,10259,1668,1611,0.157032849,library
sahat/hackathon-starter,JavaScript,2408,26389,5333,158,15,10,1924,165,304,0.158004158,tutorial
mozilla/pdf.js,JavaScript,11587,26320,6292,284,601,269,81660,9308,12543,0.153600294,library
hexojs/hexo,JavaScript,2658,26171,3501,130,213,266,17481,4447,492,0.028144843,framework
vinta/awesome-python,Python,1326,66261,12792,306,492,1,42,14,24,0.571428571,
donnemartin/system-design-primer,Python,254,61914,9254,65,82,14,655,296,111,0.169465649,
toddmotto/public-apis,Python,2010,56076,5775,434,35,2,163,24,36,0.220858896,
tensorflow/models,Python,3317,51758,31819,393,1594,1446,209328,52698,89360,0.426889857,
ytdl-org/youtube-dl,Python,16989,49447,8595,400,2805,869,118843,16655,7643,0.064311739,
pallets/flask,Python,3507,43537,12252,402,65,68,9189,3579,3475,0.378169551,
nvbn/thefuck,Python,1511,43118,2152,122,157,353,9129,3135,1833,0.200788695,
django/django,Python,26860,41050,17680,400,221,2006,234164,52787,49476,0.211287815,
jakubroztocil/httpie,Python,1013,40841,2689,74,156,47,4161,1297,965,0.231915405,
keras-team/keras,Python,5107,40453,15364,436,2344,191,43097,11401,15628,0.362623849,
josephmisiti/awesome-machine-learning,Python,1237,39395,9792,372,2,1,18,4,7,0.388888889,
kennethreitz/requests,Python,5621,38305,6982,418,210,34,5841,1933,1974,0.337955829,
ansible/ansible,Python,44513,36678,15176,398,5604,4814,717800,195727,532613,0.742007523,
scikit-learn/scikit-learn,Python,23911,34658,16944,414,1913,724,121878,45959,72475,0.594652029,
scrapy/scrapy,Python,7068,32481,7682,311,790,283,25972,7124,4350,0.167488064,
minimaxir/big-list-of-naughty-strings,Python,216,32347,1363,57,72,2,19,23,21,1.105263158,
shadowsocks/shadowsocks,Python,1,29632,17980,1,430,0,0,0,0,0,
XX-net/XX-Net,Python,2050,27298,7474,67,7755,948,287529,82127,76419,0.265778408,
certbot/certbot,Python,9145,24878,2530,351,782,316,39287,13543,14679,0.373635045,
python/cpython,Python,103847,23780,9564,375,1011,1840,527918,114123,138531,0.262410071,
soimort/you-get,Python,2143,23684,4696,146,314,128,10476,2243,1375,0.131252386,
ageitgey/face_recognition,Python,152,23188,6087,21,289,27,1254,582,696,0.555023923,
home-assistant/home-assistant,Python,18864,23019,6682,417,1107,3294,317076,86202,46646,0.147112995,
floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,100,22524,5089,22,70,1,114,20,1,0.00877193,
imhuay/Algorithm_Interview_Notes-Chinese,Python,517,22508,6756,8,25,23,509,316,554,1.088408644,
Avik-Jain/100-Days-Of-ML-Code,Python,107,22250,4963,6,37,1,0,1,0,0,
isocpp/CppCoreGuidelines,Python,1740,22206,2857,221,115,3,3297,966,2457,0.74522293,
tldr-pages/tldr,Python,4586,22088,1629,407,77,2,100,40,23,0.23,
getsentry/sentry,Python,25161,20598,2351,381,832,2613,912940,52108,30497,0.033405262,
faif/python-patterns,Python,614,20246,4385,86,11,59,2270,1148,1274,0.56123348,
golang/go,Go,40033,56855,7775,402,4493,6412,1526246,155698,233827,0.153204005,
moby/moby,Go,36734,53018,15343,442,3679,4822,994339,128593,133514,0.134274126,
kubernetes/kubernetes,Go,77482,51621,17808,378,3171,12054,3033914,413680,646391,0.213055149,
avelino/awesome-go,Go,3022,42870,5574,435,36,1,127,22,2,0.015748031,
getlantern/lantern,Go,6092,41495,9074,53,2543,1699,424982,45409,43647,0.102703173,
gohugoio/hugo,Go,5034,34532,3879,439,332,498,63920,16036,11018,0.172371715,
gogs/gogs,Go,5086,30014,3443,407,639,1209,506042,41039,42868,0.084712336,
astaxie/build-web-application-with-golang,Go,5050,29451,8156,323,106,78,2995,556,352,0.117529215,
gin-gonic/gin,Go,1246,26383,3075,211,181,75,10134,2195,1909,0.188375765,
syncthing/syncthing,Go,5232,25583,2139,177,244,403,65422,11881,7784,0.118981382,
etcd-io/etcd,Go,15039,24345,4905,408,408,1747,483257,53637,69786,0.144407634,
prometheus/prometheus,Go,5687,23481,3260,328,342,2747,894610,111339,205992,0.230258996,
ethereum/go-ethereum,Go,10862,23156,8248,405,689,2289,771548,76800,98790,0.128041288,
fatedier/frp,Go,691,22491,4003,35,36,483,47875,8743,11376,0.237618799,
containous/traefik,Go,2945,21965,2251,369,391,5154,1033255,146312,213232,0.206369193,
mholt/caddy,Go,2346,21489,1700,252,165,204,30330,5063,7098,0.234025717,
junegunn/fzf,Go,1601,21036,809,100,118,53,9990,1135,535,0.053553554,
astaxie/beego,Go,3403,19966,4068,293,614,225,45755,6989,9727,0.212588788,
FiloSottile/mkcert,Go,97,18551,668,23,22,69,30521,1673,4658,0.152616231,
pingcap/tidb,Go,8254,18292,2634,253,835,744,213268,26352,25458,0.119370932,
drone/drone,Go,3415,18019,1764,239,71,470,69734,7154,7489,0.107393811,
istio/istio,Go,7584,16990,2776,356,1096,5603,2018279,179017,231001,0.114454444,
hashicorp/terraform,Go,23942,16507,4584,374,1663,3727,1020253,122552,162251,0.159030162,
influxdata/influxdb,Go,29973,16112,2306,344,1641,1135,252755,36611,21550,0.08526043,
inconshreveable/ngrok,Go,328,15982,2761,23,156,46,3867,851,451,0.116627877,
cockroachdb/cockroach,Go,38186,15978,1736,232,2456,2467,750160,86032,158205,0.210895009,
github/hub,Go,2919,15803,1586,183,190,365,152957,17061,13773,0.090044915,
minio/minio,Go,5676,15717,1460,153,158,584,111789,17839,27111,0.242519389,
hashicorp/consul,Go,9726,15617,2706,402,533,4145,1315978,193706,256026,0.194551885,
v2ray/v2ray-core,Go,4409,15290,3364,36,74,746,81679,13699,7873,0.096389525,